         40240765 function calls (40240693 primitive calls) in 85.320 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16443    0.022    0.000    0.077    0.000 lax.py:86(_is_array_or_tracer)
    98302    0.074    0.000    0.074    0.000 getlimits.py:659(min)
   377102    0.074    0.000    0.074    0.000 {built-in method builtins.hasattr}
        4    0.000    0.000    0.071    0.018 _coo.py:266(_check)
       72    0.071    0.001    0.071    0.001 {method 'reduce' of 'numpy.ufunc' objects}
        8    0.071    0.009    0.071    0.009 lax_numpy.py:2707(diag)
   131124    0.069    0.000    0.069    0.000 core.py:413(__init__)
        4    0.000    0.000    0.069    0.017 _base.py:1287(_process_toarray_args)
        4    0.069    0.017    0.069    0.017 {built-in method numpy.zeros}
360602/360586    0.069    0.000    0.069    0.000 {built-in method _operator.index}
    81904    0.068    0.000    0.068    0.000 {built-in method builtins.sorted}
   409839    0.065    0.000    0.065    0.000 multiarray.py:664(result_type)
   131124    0.064    0.000    0.064    0.000 core.py:883(cur_sublevel)
   163892    0.063    0.000    0.063    0.000 {built-in method builtins.hash}
    32756    0.058    0.000    0.058    0.000 dtypes.py:441(is_python_scalar)
    32752    0.027    0.000    0.055    0.000 lax_numpy.py:4250(_is_scalar)
    65546    0.055    0.000    0.055    0.000 dispatch.py:940(<listcomp>)
    16388    0.031    0.000    0.053    0.000 util.py:332(_stackable)
   131092    0.052    0.000    0.052    0.000 dispatch.py:937(<genexpr>)
   262166    0.051    0.000    0.051    0.000 fromnumeric.py:1961(_shape_dispatcher)
   196712    0.049    0.000    0.049    0.000 dtypes.py:506(<genexpr>)
   229394    0.047    0.000    0.047    0.000 {built-in method builtins.iter}
    98302    0.045    0.000    0.045    0.000 getlimits.py:672(max)
    32776    0.037    0.000    0.043    0.000 util.py:347(canonicalize_axis)
    16439    0.018    0.000    0.038    0.000 core.py:1270(concrete_or_error)
        8    0.000    0.000    0.036    0.004 {method 'max' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.036    0.004 _methods.py:38(_amax)
        8    0.000    0.000    0.035    0.004 {method 'min' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.035    0.004 _methods.py:42(_amin)
    65546    0.034    0.000    0.034    0.000 device_array.py:76(type_is_device_array)
    16414    0.031    0.000    0.034    0.000 lax.py:4804(_check_user_dtype_supported)
   147593    0.031    0.000    0.031    0.000 {method 'items' of 'dict' objects}
    98276    0.030    0.000    0.030    0.000 lax_numpy.py:4257(<genexpr>)
    32809    0.024    0.000    0.028    0.000 numeric.py:1873(isscalar)
    32760    0.018    0.000    0.028    0.000 <string>:1(<lambda>)
    98276    0.026    0.000    0.026    0.000 lax_numpy.py:4188(<genexpr>)
   131101    0.025    0.000    0.025    0.000 fromnumeric.py:3117(_ndim_dispatcher)
   147512    0.025    0.000    0.025    0.000 core.py:708(pure)
    49140    0.025    0.000    0.025    0.000 lax.py:1321(<listcomp>)
    65521    0.025    0.000    0.025    0.000 {built-in method __new__ of type object at 0x108d5e920}
    32760    0.015    0.000    0.019    0.000 lax_numpy.py:4152(_eliminate_deprecated_list_indexing)
    98280    0.018    0.000    0.018    0.000 core.py:1698(is_constant)
    65578    0.018    0.000    0.018    0.000 {built-in method from_iterable}
    32760    0.016    0.000    0.016    0.000 lax_numpy.py:4262(<genexpr>)
    81966    0.016    0.000    0.016    0.000 xla.py:84(identity)
    65528    0.015    0.000    0.015    0.000 core.py:1702(symbolic_equal)
    32776    0.014    0.000    0.014    0.000 util.py:333(<genexpr>)
    16380    0.008    0.000    0.010    0.000 enum.py:783(__hash__)
    32760    0.010    0.000    0.010    0.000 {method 'insert' of 'list' objects}
    16380    0.007    0.000    0.009    0.000 slicing.py:208(from_any)
       11    0.008    0.001    0.008    0.001 reductions.py:212(sum)
       13    0.000    0.000    0.007    0.001 lax_numpy.py:2227(arange)
       17    0.000    0.000    0.007    0.000 lax_numpy.py:1939(array)
        5    0.000    0.000    0.004    0.001 std.py:1478(display)
        3    0.000    0.000    0.004    0.001 scsatime.py:201(compute_cscsa_cost)
        4    0.000    0.000    0.004    0.001 slicing.py:698(dynamic_index_in_dim)
        7    0.000    0.000    0.004    0.001 iostream.py:471(flush)
        4    0.000    0.000    0.004    0.001 std.py:1339(refresh)
        5    0.000    0.000    0.003    0.001 std.py:348(print_status)
        4    0.000    0.000    0.003    0.001 std.py:1174(__iter__)
       12    0.000    0.000    0.003    0.000 utils.py:143(inner)
       24    0.001    0.000    0.003    0.000 device_array.py:209(__repr__)
       34    0.000    0.000    0.003    0.000 util.py:300(_promote_dtypes_numeric)
        5    0.000    0.000    0.003    0.001 std.py:342(fp_write)
        7    0.000    0.000    0.003    0.000 threading.py:589(wait)
    16422    0.003    0.000    0.003    0.000 typing.py:1737(cast)
        7    0.000    0.000    0.003    0.000 threading.py:288(wait)
    16419    0.003    0.000    0.003    0.000 core.py:1273(<lambda>)
       55    0.003    0.000    0.003    0.000 {method 'acquire' of '_thread.lock' objects}
        4    0.000    0.000    0.003    0.001 slicing.py:686(dynamic_slice_in_dim)
        4    0.000    0.000    0.003    0.001 slicing.py:64(dynamic_slice)
        3    0.000    0.000    0.003    0.001 std.py:1212(update)
       24    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(array2string)
        1    0.000    0.000    0.002    0.002 std.py:846(__init__)
       24    0.000    0.000    0.002    0.000 arrayprint.py:561(array2string)
        4    0.000    0.000    0.002    0.000 lax_numpy.py:2101(ones)
       24    0.000    0.000    0.002    0.000 arrayprint.py:506(wrapper)
       34    0.000    0.000    0.002    0.000 util.py:307(<listcomp>)
       24    0.000    0.000    0.002    0.000 arrayprint.py:523(_array2string)
        4    0.000    0.000    0.002    0.000 lax_numpy.py:1767(concatenate)
        4    0.000    0.000    0.002    0.000 lax_numpy.py:790(_reshape)
        1    0.000    0.000    0.001    0.001 scsatime.py:310(compute_hsearch)
        4    0.000    0.000    0.001    0.000 slicing.py:2116(_dynamic_slice_indices)
       24    0.000    0.000    0.001    0.000 arrayprint.py:452(_get_format_function)
        4    0.000    0.000    0.001    0.000 _construct.py:26(spdiags)
